UOID,Parent,Label,OrgName,ProgramName,Adjusted,Normalized,Outcomes,CPO,Efficacy,Evidence,Definition,OtherOutcomes,Budget,Reach,Type
12479,Z06.01.02,Teach For America Inc,Teach For America Inc,Propelling Excellence and Opportunity in Springfield,232,0.09%,232,"$6,329 ",92.40%,Reliable,,Equitable Education,"$1,468,329 ",251 individuals,Program
12482,Z12.01.04,Women's Fund of Western Massa…,Women's Fund of Western Massachusetts,The Young Women's Initiative,100,0.06%,18,"$10,445 ",81.80%,Reliable: Best in Class,,Social and Emotional Skills,"$188,009 ",22 individuals,Program
12483,Z01.01.01,Springfield Symphony Orchestra,Springfield Symphony Orchestra,Springfield Symphony Orchestra Concert Season,5000,1.90%,"22,500",$96 ,100.00%,Needs Improvement,,Social and Emotional Skills; Expose New Artistic Talent; Reach Diverse Audiences; Strengthen Creative Community; Strengthen Individual Creativity Skills,"$2,150,000 ","22,500 individuals",Program
12486,Z06.05.04,Teach Western Mass,Teach Western Mass,The Urban Ed Pathway,100,0.04%,35,"$4,429 ",87.50%,Needs Improvement,,Effective Teachers; Equitable Education,"$155,000 ",40 individuals,Program
12491,Z01.01.01,Springfield Museums,Springfield Museums,School Vacation Week Programming,5000,1.90%,"13,704",$2 ,89.00%,Reliable,,Reach Diverse Audiences,"$25,000 ","15,398 individuals",Program
12492,Z01.01.01,Springfield Museums,Springfield Museums,Exhibitions at the Springfield Museums,5000,1.90%,"484,602",$2 ,100.00%,Needs Improvement,,Reach Diverse Audiences; STEM Interest,"$1,158,000 ","484,602 individuals",Program
12493,Z05.04.02,"Way Finders, Inc.","Way Finders, Inc.",Financial Capabilities,850,0.41%,850,$967 ,85.00%,Needs Improvement,,Financial Resilience,"$821,944 ","1,000 households",Program
12494,Z12.01.03,Big Brothers Big Sisters of H…,Big Brothers Big Sisters of Hampden County,MassMutual Mentoring Program,100,0.06%,87,"$1,502 ",91.60%,Reliable: Best in Class,,Social and Emotional Skills; College Access and Readiness; High School Completion,"$130,631 ",95 individuals,Program
12495,Z05.04.02,"RISE Foundation, Inc.","RISE Foundation, Inc.",RISE Save Up,120,0.06%,120,"$2,511 ",100.00%,Reliable: Best in Class,,Financial Resilience,"$301,342 ",120 individuals,Program
12496,Z06.02.02,Horizons for Homeless Children,Horizons for Homeless Children,Early Education for Homeless Children,266,0.11%,266,"$17,656 ",100.00%,Reliable: Best in Class,,Oral Language and Emergent Literacy Gains; Mathematics and Science Knowledge Gains,"$4,696,511 ",266 individuals,Program
12506,Z05.03.03,Regina Immigrant Women Centre,Regina Immigrant Women Centre,Focus on Youth Immigrant Careers,100,0.05%,15,"$10,000 ",100.00%,Needs Improvement,,"Job Readiness; Acuqire Full-time, Non-Seasonal Employment","$150,000 ",15 individuals,Program
12513,Z04.04.01,mack test jig,mack test jig,asf,100,0.16%,2,$6 ,16.70%,Reliable,,Jewish Learning and Culture; Jewish Values; Isreal Engagement; Jewish Peoplehood; Jewish Sustainability and Welfare,$12 ,12 households,Program
12515,Z06.05.03,Philadelphia Futures,Philadelphia Futures,College Success Program,262,0.11%,262,"$3,429 ",81.10%,Needs Improvement,,Career Access and Readiness,"$898,347 ",323 individuals,Program
12526,Z05.03.03,Clean Foundation,Clean Foundation,YES: Youth Employment Strategy,100,0.05%,25,"$16,000 ",92.60%,Needs Improvement,,"Job Readiness; Acuqire Full-time, Non-Seasonal Employment","$400,000 ",27 individuals,Program
12527,Z06.02.04,Big Brothers Big Sisters of N…,Big Brothers Big Sisters of Northeast Indiana,Youth Mentoring Programs,1368,0.55%,"1,368","$1,910 ",79.00%,Reliable: Best in Class,,Social and Emotional Skills; Reduce Crime; College Access and Readiness; Reduce Risky Behavior; Prevent Child Abuse and Neglect,"$2,613,434 ","1,732 individuals",Program
12528,Z05.03.01,Literacy Volunteers of Greate…,Literacy Volunteers of Greater Hartford,Career Pathways,300,0.14%,300,$700 ,88.80%,Reliable,,Acquire Employment,"$210,000 ",338 individuals,Program
12535,Z01.01.02,"Greensboro Downtown Parks, In…","Greensboro Downtown Parks, Inc.",GDPI Free Programming,5000,1.90%,"40,000",$2 ,100.00%,Needs Improvement,,Enhance Arts Appreciation,"$62,802 ","40,000 individuals",Program
12536,Z06.02.06,"Early Childhood Alliance, Inc.","Early Childhood Alliance, Inc.",Pre-K Education and Family Engagement Program for Low-Income Children,143,0.06%,143,"$8,098 ",90.50%,Reliable: Best in Class,,Social and Emotional Gains,"$1,158,075 ",158 individuals,Program
12539,Z03.04.03,Revitalize Community Developm…,Revitalize Community Development Corporation,#GreenNFit Healthy Homes,330,0.09%,330,"$1,843 ",100.00%,Needs Improvement,,None Listed,"$608,300 ",330 individuals,Program
12541,Z05.03.06,Gladden Community House,Gladden Community House,Homeless Prevention,200,0.10%,200,"$1,000 ",60.60%,Needs Improvement,,Reduce Homelessness; Acquire Employment; Prevent Literal Homelessness through Housing Stabilization,"$200,000 ",330 households,Program
12544,Z06.03.03,Scholar Athletes,Scholar Athletes,Adopt-a-Zone,347,0.14%,347,$318 ,92.00%,Reliable,,Social and Emotional Skills; College Access and Readiness; Physical Fitness,"$110,205 ",377 individuals,Program
12547,Z06.04.01,"Urban League of Springfield, …","Urban League of Springfield, Inc.",The Big 3 STEM Initiative,100,0.04%,48,"$2,083 ",100.00%,Reliable: Best in Class,,None Listed,"$100,000 ",48 individuals,Program
12548,Z05.02.03,Valley Venture Mentoring Serv…,"Valley Venture Mentoring Service, Inc.",Collegiate Accelerator,100,0.05%,15,"$16,503 ",100.00%,Reliable,,Business Growth; Career Access and Readiness; Commercialize Innovations; Strengthen Innovation Skills; High Quality Leadership,"$247,542 ",15 individuals,Program
12550,Z05.02.03,Valley Venture Mentoring Serv…,"Valley Venture Mentoring Service, Inc.",Startup Accelerator Program,100,0.05%,22,"$18,138 ",100.00%,Reliable,,Local Economic Growth; Strengthen Innovation Skills; A Culture of Innovation,"$399,029 ",22 individuals,Program
12565,Z05.04.02,Junior Achievement of Norther…,Junior Achievement of Northern Indiana,"Junior Achievement Elementary Programming, Allen County",5000,2.41%,"18,501",$31 ,62.00%,Reliable,,None Listed,"$567,000 ","29,840 individuals",Program
12583,Z08.02.02,Little Warriors,Little Warriors,Be Brave Ranch,100,0.07%,58,"$36,458 ",80.00%,Needs Improvement,,Access to Services and Supports; Reduce Stigma,"$2,100,000 ",72 individuals,Program
12595,Z05.03.03,Mission Community Skills Cent…,Mission Community Skills Centre Society,Express to Success - Youth Skills Link,100,0.05%,42,"$24,172 ",61.80%,Needs Improvement,,"Acquire Full-time, Non-Seasonal Employment; Job Readiness","$1,015,216 ",68 individuals,Program
12603,Z12.01.04,Big Brothers Big Sisters of t…,Big Brothers Big Sisters of the Central Piedmont,KinderBuddies,100,0.06%,88,$375 ,75.20%,Reliable,,Development of Tools for Active Learning,"$33,000 ",117 individuals,Program
12604,Z06.03.03,Omaha Home for Boys,Omaha Home for Boys,Residential Care Educational Support Services,100,0.04%,50,"$23,893 ",73.50%,Reliable: Best in Class,,School Engagement and Persistence,"$1,194,632 ",68 individuals,Program
12605,Z05.03.01,The Women's Resource Center o…,"The Women's Resource Center of Greensboro, Inc.",The Family Economic Success Initiative,181,0.09%,181,"$1,336 ",95.80%,Reliable: Best in Class,,"Financial Literacy; Acquire Employment; Acuqire Full-time, Non-Seasonal Employment","$241,863 ",189 individuals,Program
12606,Z06.03.03,The Granite YMCA,The Granite YMCA,Y-START,108,0.04%,108,"$1,929 ",94.70%,Reliable: Best in Class,,Academic Habits of Mind,"$208,333 ",114 individuals,Program
12607,Z12.01.04,The Connecticut Forum,The Connecticut Forum,Connecticut YOUTH Forum,426,0.27%,426,$521 ,71.00%,Reliable: Best in Class,,None Listed,"$222,000 ",600 individuals,Program
12608,Z05.03.01,Connecticut Public Broadcasti…,"Connecticut Public Broadcasting, Inc.",Veterans Vocational Training Program,100,0.05%,48,"$6,449 ",87.30%,Needs Improvement,,None Listed,"$309,534 ",55 individuals,Program
12610,Z06.02.02,Greensboro Children's Museum,Greensboro Children's Museum,Museum Access Support/Technology Education for Children,1900,0.76%,"1,900",$26 ,100.00%,Needs Improvement,,None Listed,"$50,000 ","1,900 individuals",Program
12612,Z05.02.03,Northeast Indiana Innovation …,"Northeast Indiana Innovation Center, Inc.",Entrepreneurial Services for Underestimated Business Builder Founders,854,0.41%,854,$345 ,85.40%,Reliable,,Job Creation,"$295,050 ","1,000 individuals",Program
12613,Z05.03.01,Curriculum Opportunities and …,Curriculum Opportunities and Resources for Educators (CORE),CORE Vocational Training for Young Adults with Disabilities,100,0.05%,45,"$6,629 ",97.80%,Needs Improvement,,"Social Competence; Acquire Employment; Return to Work; Acuqire Full-time, Non-Seasonal Employment","$298,300 ",46 individuals,Program
12614,Z05.04.02,Habitat for Humanity of Great…,Habitat for Humanity of Greater Fort Wayne,HomeWorks Homeownership Program,100,0.05%,11,"$16,391 ",100.00%,Reliable: Best in Class,,Financial Resilience,"$180,300 ",11 households,Program
12615,Z05.01.02,Springfield Business Improvem…,Springfield Business Improvement District,"Springfield BID Live, Work, Play",100,0.05%,1,"$1,200,000 ",100.00%,Needs Improvement,,Reach Diverse Audiences; Reduce Crime; Develop Community Infrastructure,"$1,200,000 ",1 organization,Program
12617,Z12.01.04,Girl Scouts of Northern India…,Girl Scouts of Northern Indiana - Michiana,Girl Scout Staff-Led Troop Program,262,0.16%,262,$240 ,58.00%,Reliable,,None Listed,"$62,820 ",452 individuals,Program
12618,Z06.03.02,Junior Achievement of the Mid…,"Junior Achievement of the Midlands, Inc.",Elementary School Program - Inspiring Student Success!,5000,2.01%,"8,792",$15 ,85.90%,Reliable: Best in Class,,Development of Tools for Active Learning,"$135,000 ","10,232 individuals",Program
12619,Z06.04.01,Kids Can Community Center,Kids Can Community Center,Kids Can Out-Of-School and Early Childhood Program,1161,0.47%,"1,161","$2,046 ",93.30%,Needs Improvement,,Social and Emotional Skills; Oral Language and Emergent Literacy Gains; Mathematics and Science Knowledge Gains,"$2,375,000 ","1,245 individuals",Program
12621,Z05.03.03,"Blue Jacket, Inc.","Blue Jacket, Inc.",Blue Jacket Career Academy,223,0.11%,223,"$8,498 ",81.40%,Needs Improvement,,Job Readiness,"$1,894,955 ",274 individuals,Program
12623,Z06.03.04,"Innovations for Learning, Inc.","Innovations for Learning, Inc.",TutorMate Online Literacy Program,5000,2.01%,"5,600",$604 ,100.00%,Reliable,,None Listed,"$3,384,000 ","5,600 individuals",Program
12624,Z06.03.02,The Durham Museum,The Durham Museum,Teaching Our Community History Initiative,4542,1.82%,"4,542",$13 ,96.00%,Reliable,,None Listed,"$60,000 ","4,732 individuals",Program
12625,Z05.04.02,Junior Achievement of the Tri…,"Junior Achievement of the Triad, Inc.",Mission Possible 3.0,5000,2.41%,"12,353",$33 ,75.00%,Reliable: Best in Class,,Job Readiness; Civic Engagement,"$403,754 ","16,471 individuals",Program
12626,Z05.02.03,Bunker Labs,Bunker Labs,CEOcircle,100,0.05%,45,$424 ,95.70%,Needs Improvement,,Business Growth,"$19,070 ",47 individuals,Program
12627,Z05.03.01,Forge Greensboro,Forge Greensboro,Skills Bootcamp,100,0.05%,35,$500 ,94.60%,Reliable,,Acquire Employment,"$17,500 ",37 individuals,Program
12647,Z04.04.04,TAMID Group,TAMID Group,Student Consulting,100,0.16%,100,"$1,000 ",10.00%,Needs Improvement,,None Listed,"$100,000 ","1,000 individuals",Program
12650,Z04.04.02,Oshman Family Jewish Communit…,Oshman Family Jewish Community Center,NightShift,250,0.41%,250,$120 ,83.30%,Reliable,,Jewish Connectivity,"$30,000 ",300 individuals,Program
12652,Z04.04.02,OneTable,OneTable,Intimate Shabbat Dinners,5000,8.25%,"33,000",$152 ,60.00%,Needs Improvement,,Jewish Connectivity,"$5,000,000 ","55,000 individuals",Program
12653,Z04.04.01,KAHAL,KAHAL,Student Abroad Experience,1600,2.64%,"1,600",$195 ,74.70%,Reliable,,Jewish Peoplehood,"$312,000 ","2,143 individuals",Program
12654,Z04.04.01,Jewish Council for Youth Serv…,Jewish Council for Youth Services (JCYS),JCYS Leadership Circle,100,0.16%,30,"$5,733 ",100.00%,Needs Improvement,,Jewish Values,"$172,000 ",30 individuals,Program
12656,Z06.03.01,Springfield Public Schools,Springfield Public Schools,City Connects,5000,2.01%,"5,800",$380 ,80.10%,Reliable,,Social and Emotional Skills,"$2,205,500 ","7,237 individuals",Program
12657,Z06.05.01,The Literacy Alliance,The Literacy Alliance,Pre HSE and HSE Learning Centers,100,0.04%,40,"$16,575 ",12.80%,Reliable,,Career Access and Readiness,"$662,991 ",313 individuals,Program
12659,Z06.05.04,Boys & Girls Clubs of Metro A…,Boys & Girls Clubs of Metro Atlanta,Career Bound at Boys & Girls Clubs of Metro Atlanta.,434,0.17%,434,"$1,696 ",54.30%,Needs Improvement,,Social and Emotional Skills; Acquire Employment; College Access and Readiness; High School Completion; Academic Habits of Mind,"$735,850 ",800 individuals,Program
12661,Z06.03.02,The Mark Twain House & Museum,The Mark Twain House & Museum,Educational Programs for Hartford Students,956,0.38%,956,$67 ,100.00%,Needs Improvement,,Effective Teachers,"$63,885 ",956 individuals,Program
12662,Z06.05.04,"The Philadelphia Academies, I…","The Philadelphia Academies, Inc.",Career Connected Learning,733,0.29%,733,$136 ,100.00%,Needs Improvement,,High School Completion,"$100,000 ",733 individuals,Program
12663,Z05.04.03,Family Service of the Piedmon…,"Family Service of the Piedmont, Inc.",Consumer Credit Counseling - Building Financial Capability and Financial Coaching,5000,2.41%,"5,192",$97 ,95.00%,Reliable,,None Listed,"$503,142 ","5,467 individuals",Program
12664,Z06.03.03,Boys & Girls Clubs of Philade…,Boys & Girls Clubs of Philadelphia,A Call to Action Literacy Initiative,936,0.38%,936,$665 ,72.00%,Reliable: Best in Class,,Academic Habits of Mind,"$622,832 ","1,300 individuals",Program
12665,Z05.04.02,CATCH Neighborhood Housing,CATCH Neighborhood Housing,HOMEteam,232,0.11%,232,"$1,885 ",100.00%,Needs Improvement,,Housing Stability,"$437,287 ",232 households,Program
12666,Z06.05.02,Partnership 4 Kids,Partnership 4 Kids,Partnership 4 Kids (P4K) Pathway to college,966,0.39%,966,"$2,174 ",16.70%,Needs Improvement,,Career Access and Readiness; College Persistence and Completion; High School Completion,"$2,100,000 ","5,800 individuals",Program
12667,Z06.02.06,"Reading Connections, Inc.","Reading Connections, Inc.",Reading Connections Family Literacy Program,100,0.04%,93,"$1,370 ",100.00%,Needs Improvement,,Career Access and Readiness,"$127,379 ",93 households,Program
12668,Z12.01.03,TeamMates Mentoring,TeamMates Mentoring,Metro Omaha Match Growth and Support,5000,3.11%,"8,800",$36 ,88.00%,Needs Improvement,,Social and Emotional Skills,"$314,104 ","10,000 individuals",Program
12669,Z01.01.02,Smithsonian Institution,Smithsonian Institution,2018 Smithsonian Week,5000,1.90%,"9,205",$4 ,50.00%,Needs Improvement,,Enhance Arts Appreciation,"$40,600 ","18,410 individuals",Program
12670,Z06.03.03,Allen County - Fort Wayne His…,"Allen County - Fort Wayne Historical Society, History Center",K-12 Admission-Free School Group Tour Program,4885,1.96%,"4,885",$36 ,67.70%,Needs Improvement,,None Listed,"$175,000 ","7,215 individuals",Program
12671,Z05.03.01,Greensboro Chamber Foundation,Greensboro Chamber Foundation,GROW Greensboro Initiative,100,0.05%,64,"$3,019 ",83.10%,Needs Improvement,,Business Growth; Job Creation; Stimulate Entrepreneurship; Local Economic Growth; Career Access and Readiness,"$193,201 ",77 individuals,Program
12673,Z05.03.06,Billings Forge Community Work…,"Billings Forge Community Works, Inc.",Culinary Job Training at The Kitchen,100,0.05%,16,"$14,250 ",64.00%,Reliable,,Acquire Employment; Job Readiness,"$228,000 ",25 individuals,Program
12674,Z06.05.01,East Wayne Street Center,East Wayne Street Center,Project SOLVE / Family Literacy,100,0.04%,14,"$8,027 ",15.70%,Reliable,,Financial Literacy; Job Readiness; Career Access and Readiness; College Access and Readiness,"$112,380 ",89 individuals,Program
12675,Z05.03.06,Lutheran Social Services of I…,"Lutheran Social Services of Indiana, Inc.",LSSI (Lasting Stability and Success for Individuals) Works,100,0.05%,58,"$6,393 ",63.70%,Reliable,,Job Quality,"$370,800 ",91 individuals,Program
12676,Z05.04.02,Junior Achievement of Norther…,Junior Achievement of Northern Indiana,"JA Finance Park, Allen County",3315,1.60%,"3,315",$44 ,86.00%,Reliable: Best in Class,,None Listed,"$145,000 ","3,855 individuals",Program
12679,Z06.04.01,The Franklin Institute,The Franklin Institute,The Franklin Institute’s Youth Education Program,207,0.08%,207,"$3,338 ",100.00%,Needs Improvement,,Strengthen Innovation Skills; Job Readiness; Development of Tools for Active Learning; Internet Access; Expand User Diversity,"$691,000 ",207 individuals,Program
12683,Z06.03.03,City Year Philadelphia,City Year Philadelphia,Whole School Whole Child at Cramp Elementary School,100,0.04%,48,"$6,206 ",68.60%,Reliable: Best in Class,,Social and Emotional Skills; Academic Habits of Mind,"$297,896 ",70 individuals,Program
12684,Z06.02.02,Concord Family YMCA,Concord Family YMCA,Child Development Center,100,0.04%,62,"$17,762 ",26.70%,Needs Improvement,,Oral Language and Emergent Literacy Gains; Mathematics and Science Knowledge Gains; Development of Tools for Active Learning,"$1,101,268 ",232 individuals,Program
12685,Z12.01.04,Fort Wayne Park Foundation,Fort Wayne Park Foundation,Youth Mentoring for a Safer Environment,143,0.09%,143,"$2,713 ",67.10%,Needs Improvement,,Reduce Risky Behavior,"$388,000 ",213 individuals,Program
12686,Z05.03.01,"Our Piece of the Pie, Inc.","Our Piece of the Pie, Inc.",Academic Services,600,0.29%,600,"$3,280 ",100.00%,Needs Improvement,,School Engagement and Persistence,"$1,968,000 ",600 individuals,Program
12687,Z06.03.03,The Salvation Army Boys and G…,The Salvation Army Boys and Girls Club of Greensboro,Project Learn,367,0.15%,367,"$1,015 ",65.10%,Reliable: Best in Class,,STEM Interest; Academic Habits of Mind,"$372,339 ",564 individuals,Program
12689,Z05.03.03,American Red Cross,American Red Cross,Nurse Assistant Training Program Scholarships,265,0.13%,265,"$1,982 ",80.10%,Needs Improvement,,Career Advancement,"$525,103 ",331 individuals,Program
12690,Z05.03.01,Chicano Awareness Center DBA …,Chicano Awareness Center DBA Latino Center of the Midlands,Adult Basic Education,385,0.19%,385,$580 ,100.00%,Needs Improvement,,Career Advancement,"$223,362 ",385 individuals,Program
12691,Z05.03.01,Community Learning Center,Community Learning Center,"Career Pathways for Vulnerable Adults: Literacy, HSE and Workforce",367,0.18%,367,"$3,785 ",45.10%,Needs Improvement,,"Career Access and Readiness; High School Completion; Acuqire Full-time, Non-Seasonal Employment","$1,389,165 ",813 individuals,Program
12695,Z06.03.04,Omaha Children's Museum,Omaha Children's Museum,Partner School / Welcome Fund,3542,1.42%,"3,542",$58 ,100.00%,Needs Improvement,,Development of Tools for Active Learning,"$206,287 ","3,542 individuals",Program
12696,Z12.01.04,Mayhew Program,Mayhew Program,Mayhew Camp and Mentoring,230,0.14%,230,"$5,711 ",96.60%,Reliable,,Independent Living Skills,"$1,313,489 ",238 individuals,Program
12697,Z06.04.01,"Science Central, Inc.","Science Central, Inc.",Demonstration Theater Program,5000,2.01%,"32,226",$1 ,79.00%,Reliable,,None Listed,"$45,000 ","40,792 individuals",Program
12698,Z06.01.02,Teach For America,Teach For America,Connecticut,100,0.04%,92,"$53,879 ",85.20%,Reliable,,Academic Habits of Mind,"$4,956,885 ",108 individuals,Program
12699,Z12.01.04,YMCA of Greater Fort Wayne,YMCA of Greater Fort Wayne,Camp Potawotami Outdoor Education,2342,1.46%,"2,342",$129 ,95.00%,Reliable,,None Listed,"$302,122 ","2,465 individuals",Program
12700,Z06.03.03,YMCA of Greater Omaha,YMCA of Greater Omaha,Power Scholars Academy,100,0.04%,77,$345 ,76.20%,Needs Improvement,,Civic Engagement,"$26,577 ",101 individuals,Program
12704,Z05.03.06,Congreso de Latinos Unidos In…,Congreso de Latinos Unidos Inc.,Building 21st Century Skills for Workplace Success,117,0.06%,117,"$13,346 ",58.20%,Needs Improvement,,Job Readiness; Career Access and Readiness; College Access and Readiness; High School Completion,"$1,561,526 ",201 individuals,Program
12710,Z05.03.01,University City District,University City District,West Philadelphia Skills Initiative,113,0.05%,113,"$10,556 ",71.10%,Needs Improvement,,"Acuqire Full-time, Non-Seasonal Employment","$1,192,866 ",159 individuals,Program
12711,Z06.03.03,Boys & Girls Clubs of Fort Wa…,Boys & Girls Clubs of Fort Wayne,Project Learn,225,0.09%,225,"$5,461 ",75.00%,Reliable: Best in Class,,High School Completion,"$1,228,734 ",300 individuals,Program
12713,Z06.05.02,Hartford Promise,Hartford Promise,Hartford Promise Integrated College Success Model - Reaching Back,143,0.06%,143,$762 ,23.80%,Needs Improvement,,College Persistence and Completion,"$109,000 ",600 individuals,Program
12714,Z06.03.03,"Ivy Tech Foundation, Inc.","Ivy Tech Foundation, Inc.",Career Exploration and Education Program,200,0.08%,200,$300 ,7.40%,Needs Improvement,,None Listed,"$60,000 ","2,709 individuals",Program
12725,Z12.01.04,Completely KIDS,Completely KIDS,Out-of-School Time for At Risk Kids,1260,0.78%,"1,260","$2,344 ",63.00%,Reliable: Best in Class,,Academic Habits of Mind,"$2,954,000 ","2,000 individuals",Program
12728,Z06.01.04,The National Conference for C…,"The National Conference for Community and Justice of the Piedmont Triad, Inc.",ANYTOWN Anytime,1865,0.75%,"1,865",$144 ,90.00%,Reliable,,Social and Emotional Skills,"$268,484 ","2,072 individuals",Program
12729,Z06.04.01,Purdue University Fort Wayne,Purdue University Fort Wayne,Math Outreach Initiatives for Purdue University Fort Wayne,100,0.04%,32,"$6,250 ",68.10%,Needs Improvement,,STEM Proficiency,"$200,000 ",47 individuals,Program
12730,Z06.03.03,The Southeast Youth Council d…,The Southeast Youth Council dba Cornerstone Youth Center,Cornerstone Youth Center Programs,201,0.08%,201,"$2,957 ",75.00%,Reliable,,"Social and Emotional Skills; Strengthen Individual Creativity Skills; Prevent Substance Abuse; Improved Academic Attitudes, Beliefs, and Motivations","$594,353 ",268 individuals,Program
12731,Z06.02.02,Nebraska Children's Home Soci…,Nebraska Children's Home Society,Early Childhood Education Program,100,0.04%,91,"$6,999 ",94.80%,Reliable,,Oral Language and Emergent Literacy Gains; Mathematics and Science Knowledge Gains,"$636,943 ",96 individuals,Program
12733,Z06.02.02,Heartland Family Service,Heartland Family Service,Ready in 5,194,0.08%,194,"$1,063 ",88.50%,Reliable: Best in Class,,Oral Language and Emergent Literacy Gains; Mathematics and Science Knowledge Gains; Development of Tools for Active Learning,"$205,977 ",219 individuals,Program
12734,Z06.05.03,Hartford Youth Scholars Found…,"Hartford Youth Scholars Foundation, Inc.",Scholar Success,100,0.04%,55,"$2,179 ",84.60%,Needs Improvement,,College Access and Readiness,"$119,866 ",65 individuals,Program
12737,Z06.05.02,YMCA of Greensboro,YMCA of Greensboro,The YMCA Achievers Program 2018-2019 School Year,100,0.04%,26,"$2,115 ",86.70%,Reliable,,None Listed,"$55,000 ",30 individuals,Program
12738,Z05.03.01,"The Arc of Greensboro, Inc.","The Arc of Greensboro, Inc.",Supported Employment,121,0.06%,121,"$1,917 ",79.60%,Reliable,,"Financial Independence; Social Competence; Acquire Employment; Job Quality; Acuqire Full-time, Non-Seasonal Employment","$232,007 ",152 individuals,Program
12739,Z05.03.01,The Urban League of Philadelp…,The Urban League of Philadelphia,Career Services at The Urban League of Philadelphia,648,0.31%,648,$929 ,100.00%,Needs Improvement,,Job Readiness,"$601,866 ",648 individuals,Program
12742,Z06.02.05,Martin Luther King Montessori…,Martin Luther King Montessori School,MLK Montessori Early Education Program,100,0.04%,56,"$10,307 ",91.80%,Reliable: Best in Class,,Social and Emotional Gains; Oral Language and Emergent Literacy Gains; Development of Tools for Active Learning,"$577,200 ",61 individuals,Program
12743,Z12.01.04,Big Brothers Big Sisters of t…,Big Brothers Big Sisters of the Midlands,Community-Based Mentoring for Children at Risk of Academic Failure,1042,0.65%,"1,042","$1,884 ",97.90%,Reliable: Best in Class,,School Engagement and Persistence; Reduce Risky Behavior,"$1,963,433 ","1,064 individuals",Program
12746,Z12.01.04,Police Athletic League of Phi…,Police Athletic League of Philadelphia,Harrowgate PAL Center,491,0.31%,491,$357 ,100.00%,Reliable,,Social and Emotional Skills; School Engagement and Persistence; Reduce Risky Behavior,"$175,474 ",491 individuals,Program
12747,Z12.01.04,Police Athletic League of Phi…,Police Athletic League of Philadelphia,25th District PAL Center,653,0.41%,653,$309 ,100.00%,Reliable,,Social and Emotional Skills; School Engagement and Persistence; Reduce Risky Behavior,"$202,000 ",653 individuals,Program
12748,Z06.03.04,Children's Museum of New Hamp…,Children's Museum of New Hampshire,Curriculum Enhancement Initiative (CEI),2192,0.88%,"2,192",$13 ,84.00%,Reliable,,STEM Interest,"$28,000 ","2,610 individuals",Program
12750,Z06.03.04,Need in Deed,Need in Deed,Integrating Service-learning into the Classroom,2912,1.17%,"2,912",$164 ,80.00%,Needs Improvement,,None Listed,"$476,908 ","3,640 individuals",Program
12752,Z06.02.06,Achieve Now,Achieve Now,Focused Partnership Initiative,1243,0.50%,"1,243",$270 ,100.00%,Reliable: Best in Class,,None Listed,"$335,000 ","1,243 individuals",Program
12756,Z05.03.01,Fresh Start Women's Foundation,Fresh Start Women's Foundation,Upward Mobility Program,100,0.05%,26,"$5,269 ",89.70%,Needs Improvement,,Financial Literacy,"$137,000 ",29 individuals,Program
12763,Z12.01.04,Wellspring Interfaith Social …,Wellspring Interfaith Social Services,Summer Day Camp,489,0.30%,489,$447 ,91.10%,Reliable,,Academic Habits of Mind,"$218,803 ",537 individuals,Program
12764,Z06.03.03,Wellspring Interfaith Social …,Wellspring Interfaith Social Services,After School Program,100,0.04%,70,"$2,528 ",80.50%,Reliable: Best in Class,,Social and Emotional Skills,"$176,926 ",87 individuals,Program
12766,Z06.03.03,Operation Xcel,Operation Xcel,Operation Homework,100,0.04%,86,"$1,174 ",80.40%,Reliable: Best in Class,,"Social and Emotional Skills; STEM Interest; School Engagement and Persistence; Academic Habits of Mind; Improved Academic Attitudes, Beliefs, and Motivations","$100,930 ",107 individuals,Program
12770,Z03.04.03,Coalition for the Homeless of…,Coalition for the Homeless of Central Florida,Center for Women and Families,382,0.10%,382,"$4,759 ",54.50%,Reliable,,Personal Well-Being,"$1,817,967 ",701 households,Program
12773,Z05.04.01,Family Housing Advisory Servi…,"Family Housing Advisory Services, Inc.",Asset Builders Financial Education Program,515,0.25%,515,"$1,242 ",51.20%,Needs Improvement,,Financial Resilience,"$639,800 ","1,006 individuals",Program
12774,Z01.02.02,Artlink Inc,Artlink Inc,212,100,0.04%,26,"$3,846 ",8.70%,Needs Improvement,,Stimulate Entrepreneurship; Expose New Artistic Talent; Commercialize Innovations; Local Economic Growth; Develop Community Infrastructure,"$100,000 ",300 individuals,Program
12775,Z03.05.04,Easterseals New Hampshire,Easterseals New Hampshire,Easterseals NH Military & Veterans Services,159,0.04%,159,"$12,171 ",100.00%,Needs Improvement,,Reduce Homelessness; Housing Stability; Reduce Substance Abuse,"$1,935,201 ",159 individuals,Program
12778,Z05.04.02,Junior Achievement of Oregon …,Junior Achievement of Oregon and SW Washington,JA Economics for Success,1104,0.53%,"1,104",$28 ,100.00%,Reliable,,Financial Resilience; Job Readiness; Social and Emotional Skills; Career Access and Readiness; College Access and Readiness,"$31,000 ","1,104 individuals",Program
12779,Z12.01.01,California Friday Night Live …,California Friday Night Live Partnership (housed in the Tulare County Office of Education,Friday Night LIve,5000,3.11%,"8,000",$163 ,76.20%,Needs Improvement,,Job Readiness; Social and Emotional Skills; School Engagement and Persistence; Pass Legislation; Organizational Effectiveness,"$1,300,000 ","10,500 individuals",Program
